"actor_name","num_appearances_of_actor_name"
"GROUCHO SINATRA","1"
"GROUCHO WILLIAMS","1"
"HARRISON BALE","1"
"HARVEY HOPE","1"
"HELEN VOIGHT","1"
"HENRY BERRY","1"
"HUMPHREY GARLAND","1"
"HUMPHREY WILLIS","1"
"IAN TANDY","1"
"JADA RYDER","1"
"JAMES PITT","1"
"JANE JACKMAN","1"
"JAYNE NEESON","1"
"JAYNE NOLTE","1"
"JAYNE SILVERSTONE","1"
"JEFF SILVERSTONE","1"
"JENNIFER DAVIS","1"
"JESSICA BAILEY","1"
"JIM MOSTEL","1"
"JODIE DEGENERES","1"
"JOE SWANK","1"
"JOHN SUVARI","1"
"JOHNNY CAGE","1"
"JOHNNY LOLLOBRIGIDA","1"
"JON CHASE","1"
"JUDE CRUISE","1"
"JUDY DEAN","1"
"JULIA BARRYMORE","1"
"JULIA FAWCETT","1"
"JULIA MCQUEEN","1"
"JULIA ZELLWEGER","1"
"JULIANNE DENCH","1"
"KARL BERRY","1"
"KENNETH HOFFMAN","1"
"KENNETH PALTROW","1"
"KENNETH PESCI","1"
"KENNETH TORN","1"
"KEVIN BLOOM","1"
"KEVIN GARLAND","1"
"KIM ALLEN","1"
"KIRK JOVOVICH","1"
"KIRSTEN AKROYD","1"
"KIRSTEN PALTROW","1"
"LAURA BRODY","1"
"LAURENCE BULLOCK","1"
"LISA MONROE","1"
"LIZA BERGMAN","1"
"LUCILLE DEE","1"
"LUCILLE TRACY","1"
"MAE HOFFMAN","1"
"MARY KEITEL","1"
"MARY TANDY","1"
"MATTHEW CARREY","1"
"MATTHEW JOHANSSON","1"
"MATTHEW LEIGH","1"
"MEG HAWKE","1"
"MENA HOPPER","1"
"MENA TEMPLE","1"
"MERYL ALLEN","1"
"MERYL GIBSON","1"
"MICHAEL BENING","1"
"MICHAEL BOLGER","1"
"MICHELLE MCCONAUGHEY","1"
"MILLA KEITEL","1"
"MILLA PECK","1"
"MINNIE KILMER","1"
"MINNIE ZELLWEGER","1"
"MORGAN HOPKINS","1"
"MORGAN MCDORMAND","1"
"MORGAN WILLIAMS","1"
"NATALIE HOPKINS","1"
"NICK DEGENERES","1"
"NICK STALLONE","1"
"NICK WAHLBERG","1"
"OLYMPIA PFEIFFER","1"
"OPRAH KILMER","1"
"PARKER GOLDBERG","1"
"PENELOPE CRONYN","1"
"PENELOPE GUINESS","1"
"PENELOPE MONROE","1"
"PENELOPE PINKETT","1"
"RALPH CRUZ","1"
"RAY JOHANSSON","1"
"REESE KILMER","1"
"REESE WEST","1"
"RENEE BALL","1"
"RENEE TRACY","1"
"RICHARD PENN","1"
"RIP CRAWFORD","1"
"RIP WINSLET","1"
"RITA REYNOLDS","1"
"RIVER DEAN","1"
"ROCK DUKAKIS","1"
"RUSSELL BACALL","1"
"RUSSELL CLOSE","1"
"RUSSELL TEMPLE","1"
"SALMA NOLTE","1"
"SANDRA KILMER","1"
"SANDRA PECK","1"
"SCARLETT BENING","1"
"SCARLETT DAMON","1"
"SEAN GUINESS","1"
"SEAN WILLIAMS","1"
"SIDNEY CROWE","1"
"SISSY SOBIESKI","1"
"SPENCER DEPP","1"
"SPENCER PECK","1"
"SYLVESTER DERN","1"
"THORA TEMPLE","1"
"TIM HACKMAN","1"
"TOM MCKELLEN","1"
"TOM MIRANDA","1"
"UMA WOOD","1"
"VAL BOLGER","1"
"VIVIEN BASINGER","1"
"VIVIEN BERGEN","1"
"WALTER TORN","1"
"WARREN JACKMAN","1"
"WARREN NOLTE","1"
"WHOOPI HURT","1"
"WILL WILSON","1"
"WILLIAM HACKMAN","1"
"WOODY HOFFMAN","1"
"WOODY JOLIE","1"
"ZERO CAGE","1"
