"amount_per_transacton","customer_id"
"3.99","7"
"5.99","7"
"7.99","7"
"6.99","7"
"5.99","7"
"4.99","7"
"4.99","7"
"3.99","7"
"7.99","7"
"8.99","7"
"2.99","7"
"2.99","7"
"2.99","7"
"0.99","7"
"5.99","7"
"4.99","10"
"4.99","10"
"4.99","10"
"3.99","10"
"0.99","10"
"0.99","10"
"3.99","10"
"4.99","10"
"1.99","10"
"7.99","10"
"2.99","10"
"0.99","10"
"2.99","10"
"2.99","10"
"6.99","10"
"4.99","10"
"4.99","10"
"8.99","10"
"2.99","10"
"0.99","10"
"2.99","10"
"2.99","10"
"4.99","10"
"2.99","10"
"5.99","10"
"4.99","12"
"4.99","12"
"5.99","12"
"5.99","12"
"5.99","12"
"4.99","12"
"2.99","12"
"0.99","12"
"3.99","12"
"0.99","12"
"0.99","12"
"0.99","12"
"3.99","12"
"2.99","12"
"0.99","12"
"0.99","12"
"0.99","12"
"4.99","12"
"5.99","12"
"5.99","12"
"5.99","12"
"10.99","12"
"0.99","12"
"4.99","12"
"0.99","12"
"2.99","12"
"4.99","12"
"0.99","12"
"2.99","15"
"5.99","15"
"0.99","15"
"7.99","15"
"5.99","15"
"2.99","15"
"2.99","15"
"4.99","15"
"0.99","15"
"6.99","15"
"4.99","15"
"2.99","15"
"2.99","15"
"2.99","15"
"2.99","15"
"2.99","15"
"7.99","15"
"2.99","15"
"2.99","15"
"2.99","15"
"8.99","15"
"5.99","15"
"5.99","15"
"4.99","15"
"3.99","15"
"0.99","15"
"4.99","15"
"8.99","15"
"0.99","15"
"4.99","15"
"3.98","15"
"0.00","15"
"2.99","17"
"2.99","17"
"4.99","17"
"5.99","17"
"8.99","17"
"5.99","17"
"3.99","17"
"3.99","17"
"1.99","17"
"8.99","17"
"2.99","17"
"8.99","17"
"2.99","17"
"8.99","17"
"0.99","17"
"4.99","17"
"2.99","17"
"2.99","17"
"2.99","17"
"2.99","17"
"5.99","17"
"0.99","19"
"9.99","19"
"6.99","19"
"2.99","19"
"2.99","19"
"2.99","19"
"2.99","19"
"2.99","19"
"2.99","19"
"4.99","19"
"4.99","19"
"5.99","19"
"0.99","19"
"9.99","19"
"7.99","19"
"8.99","19"
"5.99","19"
"9.99","19"
"2.99","19"
"8.99","19"
"8.99","19"
"4.99","19"
"2.99","19"
"0.99","19"
"3.99","21"
"3.99","21"
"0.99","21"
"7.99","21"
"4.99","21"
"2.99","21"
"4.99","21"
"10.99","21"
"4.99","21"
"3.99","21"
"2.99","21"
"1.99","21"
"0.99","21"
"6.99","21"
"2.99","21"
"0.99","21"
"5.99","21"
"4.99","21"
"0.99","21"
"0.99","21"
"0.99","21"
"2.99","21"
"4.99","21"
"6.99","21"
"2.99","21"
"4.99","21"
"4.99","21"
"8.99","21"
"9.99","21"
"4.99","21"
"8.99","21"
"2.99","21"
"2.99","21"
"4.99","21"
"2.99","21"
"4.99","22"
"4.99","22"
"8.99","22"
"2.99","22"
"2.99","22"
"6.99","22"
"2.99","22"
"4.99","22"
"7.99","22"
"0.99","22"
"4.99","22"
"5.99","22"
"2.99","22"
"0.99","22"
"9.99","22"
"2.99","22"
"6.99","22"
"7.99","22"
"6.99","22"
"4.99","22"
"4.99","22"
"4.99","22"
"7.99","25"
"2.99","25"
"4.99","25"
"2.99","25"
"6.99","25"
"8.99","25"
"4.99","25"
"4.99","25"
"2.99","25"
"0.99","25"
"2.99","25"
"2.99","25"
"4.99","25"
"2.99","25"
"2.99","25"
"0.99","25"
"8.99","25"
"2.99","25"
"2.99","25"
"2.99","25"
"5.99","25"
"2.99","25"
"2.99","25"
"0.99","25"
"0.99","25"
"4.99","25"
"4.99","25"
"0.99","25"
"5.99","25"
"2.99","28"
"2.99","28"
"2.99","28"
"4.99","28"
"3.99","28"
"0.99","28"
"0.99","28"
"0.99","28"
"0.99","28"
"4.99","28"
"2.99","28"
"5.99","28"
"0.99","28"
"0.99","28"
"9.99","28"
"4.99","28"
"2.99","28"
"2.99","28"
"4.99","28"
"4.99","28"
"2.99","28"
"6.99","28"
"2.99","28"
"3.99","28"
"2.99","28"
"0.99","28"
"2.99","28"
"4.99","28"
"2.99","28"
"4.99","28"
"2.99","28"
"2.99","28"
"1.99","30"
"2.99","30"
"4.99","30"
"2.99","30"
"4.99","30"
"2.99","30"
"2.99","30"
"5.99","30"
"9.99","30"
"0.99","30"
"7.99","30"
"0.99","30"
"2.99","30"
"2.99","30"
"4.99","30"
"4.99","30"
"4.99","30"
"4.99","30"
"2.99","30"
"2.99","30"
"0.99","30"
"0.99","30"
"2.99","30"
"6.99","30"
"2.99","30"
"2.99","30"
"0.99","30"
"0.99","30"
"4.99","30"
"0.99","30"
"2.99","30"
"4.99","30"
"4.99","30"
"2.99","30"
"4.99","32"
"4.99","32"
"4.99","32"
"6.99","32"
"0.99","32"
"5.99","32"
"1.99","32"
"2.99","32"
"2.99","32"
"2.99","32"
"0.99","32"
"9.99","32"
"0.99","32"
"2.99","32"
"3.99","32"
"2.99","32"
"6.99","32"
"5.99","32"
"2.99","32"
"5.99","32"
"2.99","32"
"2.99","32"
"4.99","32"
"4.99","32"
"9.99","32"
"8.99","32"
"1.99","32"
"0.99","32"
"5.99","32"
"0.99","37"
"2.99","37"
"4.99","37"
"1.99","37"
"3.99","37"
"7.99","37"
"5.99","37"
"5.99","37"
"0.99","37"
"9.99","37"
"5.99","37"
"2.99","37"
"3.99","37"
"7.99","37"
"4.99","37"
"0.99","37"
"3.99","37"
"8.99","37"
"0.99","37"
"2.99","37"
"3.99","37"
"0.99","37"
"0.99","37"
"2.99","38"
"1.99","38"
"1.99","38"
"4.99","38"
"3.99","38"
"5.99","38"
"1.99","38"
"4.99","38"
"4.99","38"
"2.99","38"
"2.99","38"
"2.99","38"
"5.99","38"
"0.99","38"
"4.99","38"
"5.99","38"
"5.99","38"
"0.99","38"
"3.99","38"
"0.99","38"
"0.99","38"
"4.99","38"
"2.99","38"
"6.99","38"
"3.99","38"
"2.99","38"
"4.99","38"
"0.99","38"
"1.99","38"
"4.99","38"
"2.99","38"
"6.99","38"
"2.99","38"
"5.99","38"
"5.99","39"
"4.99","39"
"0.99","39"
"4.99","39"
"4.99","39"
"4.99","39"
"5.99","39"
"8.99","39"
"6.99","39"
"7.99","39"
"4.99","39"
"2.99","39"
"2.99","39"
"6.99","39"
"1.99","39"
"7.99","39"
"2.99","39"
"1.99","39"
"4.99","39"
"4.99","39"
"0.99","39"
"4.99","39"
"4.99","39"
"0.99","39"
"9.99","39"
"0.99","39"
"4.99","39"
"7.99","39"
"5.99","39"
"4.99","41"
"7.99","41"
"2.99","41"
"9.99","41"
"4.99","41"
"2.99","41"
"4.99","41"
"4.99","41"
"1.99","41"
"6.99","41"
"0.99","41"
"6.99","41"
"2.99","41"
"2.99","41"
"5.99","41"
"2.99","41"
"7.99","41"
"4.99","41"
"5.99","41"
"2.99","41"
"3.99","41"
"0.99","41"
"7.99","41"
"4.99","41"
"2.99","41"
"0.99","44"
"4.99","44"
"2.99","44"
"0.99","44"
"2.99","44"
"3.99","44"
"2.99","44"
"3.99","44"
"4.99","44"
"0.99","44"
"9.99","44"
"3.99","44"
"8.99","44"
"6.99","44"
"4.99","44"
"0.99","44"
"6.99","44"
"4.99","44"
"4.99","44"
"2.99","44"
"3.99","44"
"4.99","44"
"6.99","44"
"4.99","44"
"2.99","44"
"4.99","44"
"2.99","45"
"4.99","45"
"2.99","45"
"4.99","45"
"3.99","45"
"0.99","45"
"0.99","45"
"6.99","45"
"7.99","45"
"0.99","45"
"0.99","45"
"2.99","45"
"9.99","45"
"2.99","45"
"3.99","45"
"2.99","45"
"6.99","45"
"8.99","45"
"4.99","45"
"2.99","45"
"3.99","45"
"2.99","45"
"3.99","45"
"4.99","45"
"6.99","45"
"10.99","45"
"7.99","45"
"3.99","47"
"4.99","47"
"6.99","47"
"4.99","47"
"6.99","47"
"5.99","47"
"4.99","47"
"5.99","47"
"0.99","47"
"9.99","47"
"0.99","47"
"3.99","47"
"4.99","47"
"6.99","47"
"3.99","47"
"4.99","47"
"0.99","47"
"5.99","47"
"7.99","47"
"7.99","47"
"0.99","47"
"2.99","47"
"0.99","48"
"2.99","48"
"4.99","48"
"9.99","48"
"0.99","48"
"4.99","48"
"2.99","48"
"6.99","48"
"3.99","48"
"2.99","48"
"6.99","48"
"7.99","48"
"7.99","48"
"2.99","48"
"1.99","48"
"2.99","48"
"3.99","48"
"4.99","50"
"4.99","50"
"4.99","50"
"4.99","50"
"4.99","50"
"2.99","50"
"4.99","50"
"0.99","50"
"2.99","50"
"2.99","50"
"4.99","50"
"4.99","50"
"9.99","50"
"6.99","50"
"0.99","50"
"8.99","50"
"4.99","50"
"0.99","50"
"0.99","50"
"5.99","50"
"0.99","50"
"4.99","50"
"10.99","50"
"2.99","50"
"0.99","50"
"6.99","50"
"4.99","50"
"7.99","50"
"3.99","50"
"6.99","50"
"7.99","50"
"4.99","50"
"2.99","50"
"6.99","50"
"4.99","50"
"4.99","51"
"4.99","51"
"4.99","51"
"1.99","51"
"0.99","51"
"9.99","51"
"2.99","51"
"5.99","51"
"7.99","51"
"4.99","51"
"5.99","51"
"6.99","51"
"5.99","51"
"4.99","51"
"0.99","51"
"0.99","51"
"0.99","51"
"4.99","51"
"2.99","51"
"0.99","51"
"2.99","51"
"4.99","51"
"6.99","51"
"0.99","51"
"4.99","51"
"2.99","51"
"2.99","51"
"0.99","51"
"2.99","51"
"6.99","51"
"4.99","51"
"4.99","51"
"4.99","51"
"0.99","52"
"4.99","52"
"0.99","52"
"2.99","52"
"4.99","52"
"1.99","52"
"0.99","52"
"3.99","52"
"2.99","52"
"7.99","52"
"0.99","52"
"5.99","52"
"4.99","52"
"4.99","52"
"4.99","52"
"3.99","52"
"4.99","52"
"0.99","52"
"0.99","52"
"0.99","52"
"3.99","52"
"2.99","52"
"0.99","52"
"5.99","52"
"2.99","52"
"5.99","52"
"6.99","52"
"5.99","52"
"4.99","52"
"3.99","53"
"2.99","53"
"0.99","53"
"5.99","53"
"9.99","53"
"2.99","53"
"0.99","53"
"2.99","53"
"2.99","53"
"2.99","53"
"0.99","53"
"2.99","53"
"4.99","53"
"2.99","53"
"2.99","53"
"4.99","53"
"4.99","53"
"7.99","53"
"3.99","53"
"5.99","53"
"2.99","53"
"5.99","53"
"2.99","53"
"2.99","53"
"0.99","53"
"5.99","53"
"4.99","53"
"0.99","53"
"7.98","53"
"0.00","53"
"4.99","54"
"4.99","54"
"3.99","54"
"4.99","54"
"2.99","54"
"6.99","54"
"4.99","54"
"4.99","54"
"1.99","54"
"2.99","54"
"2.99","54"
"7.99","54"
"2.99","54"
"0.99","54"
"4.99","54"
"5.99","54"
"5.99","54"
"4.99","54"
"4.99","54"
"2.99","54"
"2.99","54"
"5.99","54"
"4.99","54"
"0.99","54"
"2.99","54"
"0.99","54"
"4.99","54"
"10.99","54"
"4.99","54"
"3.99","56"
"5.99","56"
"2.99","56"
"6.99","56"
"6.99","56"
"0.99","56"
"4.99","56"
"0.99","56"
"7.99","56"
"2.99","56"
"3.99","56"
"4.99","56"
"4.99","56"
"2.99","56"
"7.99","56"
"0.99","56"
"0.99","56"
"6.99","56"
"0.99","56"
"4.99","56"
"5.99","56"
"4.99","56"
"1.99","56"
"4.99","56"
"8.99","56"
"5.99","56"
"3.99","56"
"0.99","56"
"7.99","56"
"4.99","56"
"0.99","58"
"7.99","58"
"0.99","58"
"4.99","58"
"0.99","58"
"0.99","58"
"4.99","58"
"4.99","58"
"1.99","58"
"9.99","58"
"4.99","58"
"0.99","58"
"2.99","58"
"2.99","58"
"4.99","58"
"4.99","58"
"0.99","58"
"6.99","58"
"8.99","58"
"6.99","58"
"3.99","58"
"2.99","58"
"4.99","58"
"5.99","58"
"6.99","58"
"4.99","58"
"0.99","58"
"4.99","59"
"2.99","59"
"5.99","59"
"2.99","59"
"3.99","59"
"3.99","59"
"2.99","59"
"4.99","59"
"4.99","59"
"3.99","59"
"8.99","59"
"3.99","59"
"4.99","59"
"4.99","59"
"4.99","59"
"8.99","59"
"6.99","59"
"4.99","59"
"5.99","59"
"2.99","59"
"2.99","59"
"4.99","59"
"5.99","59"
"5.99","59"
"5.99","59"
"4.99","59"
"2.99","59"
"4.99","60"
"1.99","60"
"2.99","60"
"4.99","60"
"4.99","60"
"2.99","60"
"2.99","60"
"5.99","60"
"0.99","60"
"3.99","60"
"0.99","60"
"4.99","60"
"4.99","60"
"0.99","60"
"4.99","60"
"8.99","60"
"1.99","60"
"7.99","60"
"2.99","60"
"2.99","60"
"5.99","60"
"0.99","60"
"2.99","60"
"9.98","60"
"0.00","60"
"0.99","62"
"4.99","62"
"6.99","62"
"0.99","62"
"0.99","62"
"4.99","62"
"5.99","62"
"0.99","62"
"3.99","62"
"2.99","62"
"4.99","62"
"2.99","62"
"4.99","62"
"0.99","62"
"2.99","62"
"5.99","62"
"0.99","62"
"8.99","62"
"1.99","62"
"2.99","62"
"4.99","62"
"6.99","62"
"0.99","62"
"0.99","63"
"8.99","63"
"4.99","63"
"6.99","63"
"4.99","63"
"4.99","63"
"3.99","63"
"8.99","63"
"5.99","63"
"0.99","63"
"4.99","63"
"3.99","63"
"0.99","63"
"2.99","63"
"0.99","63"
"6.99","63"
"4.99","63"
"2.99","63"
"0.99","63"
"7.99","63"
"0.99","63"
"8.99","63"
"3.99","63"
"5.99","63"
"2.99","63"
"9.99","67"
"2.99","67"
"3.99","67"
"3.99","67"
"0.99","67"
"4.99","67"
"4.99","67"
"2.99","67"
"2.99","67"
"2.99","67"
"5.99","67"
"0.99","67"
"1.99","67"
"7.99","67"
"8.99","67"
"8.99","67"
"4.99","67"
"2.99","67"
"4.99","67"
"2.99","67"
"4.99","67"
"2.99","67"
"5.99","68"
"8.99","68"
"2.99","68"
"4.99","68"
"2.99","68"
"0.99","68"
"4.99","68"
"0.99","68"
"6.99","68"
"3.99","68"
"4.99","68"
"3.99","68"
"3.99","68"
"4.99","68"
"7.99","68"
"2.99","68"
"2.99","68"
"4.99","68"
"0.99","68"
"5.99","68"
"1.99","68"
"4.99","68"
"2.99","71"
"9.99","71"
"2.99","71"
"4.99","71"
"5.99","71"
"4.99","71"
"1.99","71"
"3.99","71"
"8.99","71"
"4.99","71"
"4.99","71"
"0.99","71"
"5.99","71"
"0.99","71"
"4.99","71"
"4.99","71"
"2.99","71"
"2.99","71"
"1.99","71"
"4.99","71"
"3.99","71"
"4.99","71"
"0.99","71"
"4.99","71"
"7.99","71"
"3.99","71"
"4.99","71"
"3.99","71"
"4.99","71"
"0.99","71"
"6.99","74"
"1.99","74"
"0.99","74"
"1.99","74"
"7.99","74"
"3.99","74"
"2.99","74"
"2.99","74"
"4.99","74"
"7.99","74"
"2.99","74"
"6.99","74"
"5.99","74"
"4.99","74"
"3.99","74"
"0.99","74"
"3.99","74"
"3.99","74"
"0.99","74"
"0.99","74"
"1.99","74"
"5.99","74"
"4.99","74"
"4.99","74"
"0.99","74"
"4.99","74"
"0.99","74"
"2.99","78"
"6.99","78"
"7.99","78"
"4.99","78"
"5.99","78"
"2.99","78"
"0.99","78"
"1.99","78"
"0.99","78"
"0.99","78"
"4.99","78"
"1.99","78"
"4.99","78"
"3.99","78"
"6.99","78"
"4.99","78"
"5.99","78"
"3.99","78"
"2.99","78"
"7.99","78"
"10.99","78"
"8.99","78"
"4.99","78"
"5.99","78"
"0.99","78"
"5.99","78"
"2.99","78"
"0.99","78"
"2.99","78"
"7.99","78"
"2.99","78"
"4.99","79"
"2.99","79"
"2.99","79"
"4.99","79"
"2.99","79"
"0.99","79"
"2.99","79"
"4.99","79"
"4.99","79"
"4.99","79"
"2.99","79"
"2.99","79"
"5.99","79"
"9.99","79"
"2.99","79"
"1.99","79"
"6.99","79"
"0.99","79"
"2.99","79"
"4.99","79"
"2.99","79"
"0.99","79"
"2.99","80"
"8.99","80"
"3.99","80"
"4.99","80"
"8.99","80"
"3.99","80"
"5.99","80"
"3.99","80"
"4.99","80"
"5.99","80"
"6.99","80"
"1.99","80"
"0.99","80"
"5.99","80"
"6.99","80"
"0.99","80"
"6.99","80"
"8.99","80"
"5.99","80"
"0.99","80"
"1.99","80"
"2.99","80"
"4.99","80"
"0.99","80"
"4.99","80"
"0.99","80"
"0.99","80"
"8.99","80"
"5.99","80"
"2.99","80"
"0.99","81"
"1.99","81"
"5.99","81"
"4.99","81"
"2.99","81"
"9.99","81"
"0.99","81"
"4.99","81"
"0.99","81"
"3.99","81"
"0.99","81"
"5.99","81"
"4.99","81"
"5.99","81"
"4.99","81"
"3.99","81"
"7.99","81"
"5.99","81"
"4.99","81"
"4.99","81"
"2.99","81"
"1.99","81"
"2.99","82"
"8.99","82"
"0.99","82"
"0.99","82"
"8.99","82"
"8.99","82"
"0.99","82"
"2.99","82"
"6.99","82"
"4.99","82"
"6.99","82"
"6.99","82"
"9.99","82"
"0.99","82"
"4.99","82"
"3.99","82"
"8.99","82"
"6.99","82"
"4.99","82"
"5.99","82"
"3.99","82"
"0.99","82"
"6.99","82"
"0.99","82"
"4.99","82"
"3.99","82"
"0.99","83"
"0.99","83"
"2.99","83"
"5.99","83"
"5.99","83"
"3.99","83"
"4.99","83"
"6.99","83"
"2.99","83"
"0.99","83"
"6.99","83"
"2.99","83"
"2.99","83"
"0.99","83"
"4.99","83"
"1.99","83"
"0.99","83"
"5.99","83"
"4.99","83"
"4.99","83"
"5.99","83"
"4.99","83"
"4.99","83"
"5.99","83"
"4.99","83"
"4.99","87"
"2.99","87"
"4.99","87"
"2.99","87"
"2.99","87"
"4.99","87"
"9.99","87"
"7.99","87"
"3.99","87"
"4.99","87"
"4.99","87"
"2.99","87"
"7.99","87"
"5.99","87"
"4.99","87"
"0.99","87"
"2.99","87"
"8.99","87"
"4.99","87"
"4.99","87"
"0.99","87"
"8.99","87"
"5.99","87"
"0.99","87"
"0.99","87"
"10.99","87"
"2.99","87"
"2.99","87"
"4.99","87"
"4.99","87"
"2.99","89"
"0.99","89"
"5.99","89"
"8.99","89"
"7.99","89"
"4.99","89"
"0.99","89"
"7.99","89"
"4.99","89"
"0.99","89"
"8.99","89"
"7.99","89"
"2.99","89"
"2.99","89"
"2.99","89"
"7.99","89"
"4.99","89"
"4.99","89"
"2.99","89"
"2.99","89"
"0.99","89"
"2.99","89"
"2.99","89"
"0.99","89"
"4.99","89"
"4.99","89"
"3.99","89"
"3.99","89"
"2.99","89"
"2.99","89"
"2.99","89"
"2.99","89"
"2.99","93"
"6.99","93"
"4.99","93"
"4.99","93"
"0.99","93"
"2.99","93"
"4.99","93"
"4.99","93"
"4.99","93"
"2.99","93"
"0.99","93"
"5.99","93"
"4.99","93"
"2.99","93"
"2.99","93"
"8.99","93"
"4.99","93"
"0.99","93"
"4.99","93"
"5.99","93"
"2.99","93"
"0.99","93"
"1.99","93"
"2.99","94"
"4.99","94"
"2.99","94"
"4.99","94"
"3.99","94"
"4.99","94"
"2.99","94"
"0.99","94"
"8.99","94"
"4.99","94"
"4.99","94"
"2.99","94"
"0.99","94"
"4.99","94"
"2.99","94"
"5.99","94"
"1.99","94"
"4.99","94"
"0.99","94"
"0.99","94"
"4.99","94"
"3.99","96"
"7.99","96"
"0.99","96"
"0.99","96"
"5.99","96"
"0.99","96"
"0.99","96"
"2.99","96"
"2.99","96"
"4.99","96"
"0.99","96"
"4.99","96"
"2.99","96"
"4.99","96"
"6.99","96"
"3.99","96"
"4.99","96"
"3.99","96"
"4.99","96"
"4.99","96"
"3.99","96"
"4.99","96"
"4.99","96"
"0.99","96"
"4.99","96"
"3.99","96"
"4.99","96"
"3.99","98"
"3.99","98"
"5.99","98"
"4.99","98"
"0.99","98"
"4.99","98"
"4.99","98"
"7.99","98"
"4.99","98"
"2.99","98"
"3.99","98"
"0.99","98"
"5.99","98"
"4.99","98"
"5.99","98"
"2.99","98"
"3.99","98"
"2.99","98"
"0.99","98"
"2.99","98"
"5.99","98"
"2.99","98"
"5.99","98"
"1.99","98"
"7.99","98"
"0.99","100"
"4.99","100"
"3.99","100"
"2.99","100"
"6.99","100"
"5.99","100"
"8.99","100"
"2.99","100"
"8.99","100"
"6.99","100"
"4.99","100"
"6.99","100"
"4.99","100"
"4.99","100"
"1.99","100"
"0.99","100"
"5.99","100"
"4.99","100"
"0.99","100"
"4.99","100"
"0.99","100"
"0.99","100"
"3.99","100"
"0.99","100"
"9.99","101"
"2.99","101"
"2.99","101"
"5.99","101"
"2.99","101"
"2.99","101"
"5.99","101"
"5.99","101"
"8.99","101"
"0.99","101"
"1.99","101"
"4.99","101"
"6.99","101"
"0.99","101"
"6.99","101"
"0.99","101"
"4.99","101"
"2.99","101"
"4.99","101"
"1.99","101"
"0.99","101"
"3.99","101"
"2.99","101"
"0.99","101"
"4.99","102"
"0.99","102"
"1.99","102"
"2.99","102"
"8.99","102"
"1.99","102"
"1.99","102"
"4.99","102"
"6.99","102"
"3.99","102"
"6.99","102"
"5.99","102"
"4.99","102"
"5.99","102"
"2.99","102"
"5.99","102"
"0.99","102"
"0.99","102"
"6.99","102"
"0.99","102"
"5.99","102"
"3.99","102"
"2.99","102"
"0.99","102"
"2.99","102"
"4.99","102"
"1.99","102"
"4.99","102"
"4.99","102"
"4.99","102"
"9.99","102"
"1.99","102"
"3.99","102"
"7.99","103"
"9.99","103"
"4.99","103"
"0.99","103"
"0.99","103"
"0.99","103"
"6.99","103"
"4.99","103"
"6.99","103"
"2.99","103"
"1.99","103"
"4.99","103"
"4.99","103"
"5.99","103"
"6.99","103"
"2.99","103"
"0.99","103"
"6.99","103"
"0.99","103"
"4.99","103"
"4.99","103"
"7.99","103"
"0.99","103"
"2.99","103"
"4.99","103"
"8.99","103"
"5.99","103"
"3.99","103"
"5.99","103"
"0.99","103"
"8.99","103"
"10.99","104"
"3.99","104"
"3.99","104"
"0.99","104"
"0.99","104"
"2.99","104"
"4.99","104"
"6.99","104"
"4.99","104"
"7.99","104"
"2.99","104"
"1.99","104"
"2.99","104"
"1.99","104"
"3.99","104"
"5.99","104"
"2.99","104"
"3.99","104"
"0.99","104"
"1.99","104"
"4.99","104"
"3.99","104"
"3.99","104"
"0.99","104"
"8.99","105"
"7.99","105"
"2.99","105"
"6.99","105"
"3.99","105"
"3.99","105"
"3.99","105"
"4.99","105"
"4.99","105"
"2.99","105"
"4.99","105"
"4.99","105"
"2.99","105"
"2.99","105"
"3.99","105"
"5.99","105"
"9.99","105"
"4.99","105"
"0.99","105"
"2.99","105"
"6.99","105"
"2.99","105"
"0.99","105"
"4.99","105"
"4.99","105"
"2.99","105"
"3.99","106"
"0.99","106"
"4.99","106"
"4.99","106"
"4.99","106"
"2.99","106"
"3.99","106"
"3.99","106"
"0.99","106"
"3.99","106"
"4.99","106"
"4.99","106"
"2.99","106"
"7.99","106"
"8.99","106"
"2.99","106"
"8.99","106"
"0.99","106"
"7.99","106"
"2.99","106"
"2.99","106"
"0.99","106"
"6.99","106"
"5.99","107"
"5.99","107"
"2.99","107"
"6.99","107"
"4.99","107"
"3.99","107"
"3.99","107"
"0.99","107"
"0.99","107"
"6.99","107"
"4.99","107"
"2.99","107"
"3.99","107"
"2.99","107"
"0.99","107"
"5.99","107"
"6.99","107"
"4.99","107"
"7.99","107"
"4.99","107"
"1.99","107"
"2.99","107"
"2.99","107"
"4.99","107"
"4.99","107"
"6.99","107"
"4.99","107"
"3.99","107"
"1.98","107"
"0.00","107"
"4.99","108"
"0.99","108"
"4.99","108"
"2.99","108"
"8.99","108"
"2.99","108"
"4.99","108"
"0.99","108"
"2.99","108"
"1.99","108"
"4.99","108"
"0.99","108"
"6.99","108"
"5.99","108"
"4.99","108"
"0.99","108"
"5.99","108"
"4.99","108"
"4.99","108"
"4.99","108"
"5.99","108"
"6.99","108"
"2.99","108"
"2.99","108"
"6.99","108"
"2.99","108"
"3.99","108"
"8.99","108"
"2.99","108"
"4.99","108"
"2.99","111"
"6.99","111"
"2.99","111"
"1.99","111"
"4.99","111"
"2.99","111"
"2.99","111"
"1.99","111"
"3.99","111"
"9.99","111"
"4.99","111"
"0.99","111"
"2.99","111"
"0.99","111"
"0.99","111"
"2.99","111"
"4.99","111"
"4.99","111"
"4.99","111"
"2.99","111"
"3.99","111"
"2.99","111"
"5.99","111"
"0.99","111"
"6.99","111"
"2.99","111"
"0.99","115"
"0.99","115"
"2.99","115"
"0.99","115"
"2.99","115"
"6.99","115"
"0.99","115"
"0.99","115"
"1.99","115"
"4.99","115"
"2.99","115"
"2.99","115"
"0.99","115"
"5.99","115"
"6.99","115"
"1.99","115"
"4.99","115"
"4.99","115"
"4.99","115"
"0.99","115"
"3.99","115"
"4.99","115"
"2.99","115"
"0.99","115"
"2.99","115"
"0.99","115"
"0.99","115"
"6.99","115"
"0.99","115"
"2.99","115"
"4.99","116"
"0.99","116"
"0.99","116"
"4.99","116"
"4.99","116"
"4.99","116"
"3.99","116"
"6.99","116"
"2.99","116"
"0.99","116"
"4.99","116"
"2.99","116"
"4.99","116"
"0.99","116"
"5.99","116"
"6.99","116"
"3.99","116"
"1.99","116"
"1.99","116"
"4.99","116"
"2.99","116"
"7.99","116"
"0.99","116"
"0.99","116"
"6.99","116"
"11.99","116"
"2.99","116"
"0.99","117"
"0.99","117"
"2.99","117"
"2.99","117"
"5.99","117"
"0.99","117"
"9.99","117"
"6.99","117"
"2.99","117"
"2.99","117"
"4.99","117"
"3.99","117"
"2.99","117"
"2.99","117"
"6.99","117"
"4.99","117"
"0.99","117"
"2.99","117"
"2.99","117"
"5.99","118"
