"cust_id","transaction_amount","pay_class"
"12","2.99","low"
"12","0.99","low"
"12","3.99","low"
"12","0.99","low"
"12","0.99","low"
"12","0.99","low"
"12","3.99","low"
"12","2.99","low"
"12","0.99","low"
"12","0.99","low"
"12","0.99","low"
"12","4.99","low"
"12","5.99","low"
"12","5.99","low"
"12","5.99","low"
"12","10.99","high"
"12","0.99","low"
"12","4.99","low"
"12","0.99","low"
"12","2.99","low"
"12","4.99","low"
"12","0.99","low"
"15","2.99","low"
"15","5.99","low"
"15","0.99","low"
"15","7.99","low"
"15","5.99","low"
"15","2.99","low"
"15","2.99","low"
"15","4.99","low"
"15","0.99","low"
"15","6.99","low"
"15","4.99","low"
"15","2.99","low"
"15","2.99","low"
"15","2.99","low"
"15","2.99","low"
"15","2.99","low"
"15","7.99","low"
"15","2.99","low"
"15","2.99","low"
"15","2.99","low"
"15","8.99","high"
"15","5.99","low"
"15","5.99","low"
"15","4.99","low"
"15","3.99","low"
"15","0.99","low"
"15","4.99","low"
"15","8.99","high"
"15","0.99","low"
"15","4.99","low"
"15","3.98","low"
"15","0.00","low"
"17","2.99","low"
"17","2.99","low"
"17","4.99","low"
"17","5.99","low"
"17","8.99","high"
"17","5.99","low"
"17","3.99","low"
"17","3.99","low"
"17","1.99","low"
"17","8.99","high"
"17","2.99","low"
"17","8.99","high"
"17","2.99","low"
"17","8.99","high"
"17","0.99","low"
"17","4.99","low"
"17","2.99","low"
"17","2.99","low"
"17","2.99","low"
"17","2.99","low"
"17","5.99","low"
"19","0.99","low"
"19","9.99","high"
"19","6.99","low"
"19","2.99","low"
"19","2.99","low"
"19","2.99","low"
"19","2.99","low"
"19","2.99","low"
"19","2.99","low"
"19","4.99","low"
"19","4.99","low"
"19","5.99","low"
"19","0.99","low"
"19","9.99","high"
"19","7.99","low"
"19","8.99","high"
"19","5.99","low"
"19","9.99","high"
"19","2.99","low"
"19","8.99","high"
"19","8.99","high"
"19","4.99","low"
"19","2.99","low"
"19","0.99","low"
"21","3.99","low"
"21","3.99","low"
"21","0.99","low"
"21","7.99","low"
"21","4.99","low"
"21","2.99","low"
"21","4.99","low"
"21","10.99","high"
"21","4.99","low"
"21","3.99","low"
"21","2.99","low"
"21","1.99","low"
"21","0.99","low"
"21","6.99","low"
"21","2.99","low"
"21","0.99","low"
"21","5.99","low"
"21","4.99","low"
"21","0.99","low"
"21","0.99","low"
"21","0.99","low"
"21","2.99","low"
"21","4.99","low"
"21","6.99","low"
"21","2.99","low"
"21","4.99","low"
"21","4.99","low"
"21","8.99","high"
"21","9.99","high"
"21","4.99","low"
"21","8.99","high"
"21","2.99","low"
"21","2.99","low"
"21","4.99","low"
"21","2.99","low"
"22","4.99","low"
"22","4.99","low"
"22","8.99","high"
"22","2.99","low"
"22","2.99","low"
"22","6.99","low"
"22","2.99","low"
"22","4.99","low"
"22","7.99","low"
"22","0.99","low"
"22","4.99","low"
"22","5.99","low"
"22","2.99","low"
"22","0.99","low"
"22","9.99","high"
"22","2.99","low"
"22","6.99","low"
"22","7.99","low"
"22","6.99","low"
"22","4.99","low"
"22","4.99","low"
"22","4.99","low"
"25","7.99","low"
"25","2.99","low"
"25","4.99","low"
"25","2.99","low"
"25","6.99","low"
"25","8.99","high"
"25","4.99","low"
"25","4.99","low"
"25","2.99","low"
"25","0.99","low"
"25","2.99","low"
"25","2.99","low"
"25","4.99","low"
"25","2.99","low"
"25","2.99","low"
"25","0.99","low"
"25","8.99","high"
"25","2.99","low"
"25","2.99","low"
"25","2.99","low"
"25","5.99","low"
"25","2.99","low"
"25","2.99","low"
"25","0.99","low"
"25","0.99","low"
"25","4.99","low"
"25","4.99","low"
"25","0.99","low"
"25","5.99","low"
"28","2.99","low"
"28","2.99","low"
"28","2.99","low"
"28","4.99","low"
"28","3.99","low"
"28","0.99","low"
"28","0.99","low"
"28","0.99","low"
"28","0.99","low"
"28","4.99","low"
"28","2.99","low"
"28","5.99","low"
"28","0.99","low"
"28","0.99","low"
"28","9.99","high"
"28","4.99","low"
"28","2.99","low"
"28","2.99","low"
"28","4.99","low"
"28","4.99","low"
"28","2.99","low"
"28","6.99","low"
"28","2.99","low"
"28","3.99","low"
"28","2.99","low"
"28","0.99","low"
"28","2.99","low"
"28","4.99","low"
"28","2.99","low"
"28","4.99","low"
"28","2.99","low"
"28","2.99","low"
"30","1.99","low"
"30","2.99","low"
"30","4.99","low"
"30","2.99","low"
"30","4.99","low"
"30","2.99","low"
"30","2.99","low"
"30","5.99","low"
"30","9.99","high"
"30","0.99","low"
"30","7.99","low"
"30","0.99","low"
"30","2.99","low"
"30","2.99","low"
"30","4.99","low"
"30","4.99","low"
"30","4.99","low"
"30","4.99","low"
"30","2.99","low"
"30","2.99","low"
"30","0.99","low"
"30","0.99","low"
"30","2.99","low"
"30","6.99","low"
"30","2.99","low"
"30","2.99","low"
"30","0.99","low"
"30","0.99","low"
"30","4.99","low"
"30","0.99","low"
"30","2.99","low"
"30","4.99","low"
"30","4.99","low"
"30","2.99","low"
"32","4.99","low"
"32","4.99","low"
"32","4.99","low"
"32","6.99","low"
"32","0.99","low"
"32","5.99","low"
"32","1.99","low"
"32","2.99","low"
"32","2.99","low"
"32","2.99","low"
"32","0.99","low"
"32","9.99","high"
"32","0.99","low"
"32","2.99","low"
"32","3.99","low"
"32","2.99","low"
"32","6.99","low"
"32","5.99","low"
"32","2.99","low"
"32","5.99","low"
"32","2.99","low"
"32","2.99","low"
"32","4.99","low"
"32","4.99","low"
"32","9.99","high"
"32","8.99","high"
"32","1.99","low"
"32","0.99","low"
"32","5.99","low"
"37","0.99","low"
"37","2.99","low"
"37","4.99","low"
"37","1.99","low"
"37","3.99","low"
"37","7.99","low"
"37","5.99","low"
"37","5.99","low"
"37","0.99","low"
"37","9.99","high"
"37","5.99","low"
"37","2.99","low"
"37","3.99","low"
"37","7.99","low"
"37","4.99","low"
"37","0.99","low"
"37","3.99","low"
"37","8.99","high"
"37","0.99","low"
"37","2.99","low"
"37","3.99","low"
"37","0.99","low"
"37","0.99","low"
"38","2.99","low"
"38","1.99","low"
"38","1.99","low"
"38","4.99","low"
"38","3.99","low"
"38","5.99","low"
"38","1.99","low"
"38","4.99","low"
"38","4.99","low"
"38","2.99","low"
"38","2.99","low"
"38","2.99","low"
"38","5.99","low"
"38","0.99","low"
"38","4.99","low"
"38","5.99","low"
"38","5.99","low"
"38","0.99","low"
"38","3.99","low"
"38","0.99","low"
"38","0.99","low"
"38","4.99","low"
"38","2.99","low"
"38","6.99","low"
"38","3.99","low"
"38","2.99","low"
"38","4.99","low"
"38","0.99","low"
"38","1.99","low"
"38","4.99","low"
"38","2.99","low"
"38","6.99","low"
"38","2.99","low"
"38","5.99","low"
"39","5.99","low"
"39","4.99","low"
"39","0.99","low"
"39","4.99","low"
"39","4.99","low"
"39","4.99","low"
"39","5.99","low"
"39","8.99","high"
"39","6.99","low"
"39","7.99","low"
"39","4.99","low"
"39","2.99","low"
"39","2.99","low"
"39","6.99","low"
"39","1.99","low"
"39","7.99","low"
"39","2.99","low"
"39","1.99","low"
"39","4.99","low"
"39","4.99","low"
"39","0.99","low"
"39","4.99","low"
"39","4.99","low"
"39","0.99","low"
"39","9.99","high"
"39","0.99","low"
"39","4.99","low"
"39","7.99","low"
"39","5.99","low"
"41","4.99","low"
"41","7.99","low"
"41","2.99","low"
"41","9.99","high"
"41","4.99","low"
"41","2.99","low"
"41","4.99","low"
"41","4.99","low"
"41","1.99","low"
"41","6.99","low"
"41","0.99","low"
"41","6.99","low"
"41","2.99","low"
"41","2.99","low"
"41","5.99","low"
"41","2.99","low"
"41","7.99","low"
"41","4.99","low"
"41","5.99","low"
"41","2.99","low"
"41","3.99","low"
"41","0.99","low"
"41","7.99","low"
"41","4.99","low"
"41","2.99","low"
"44","0.99","low"
"44","4.99","low"
"44","2.99","low"
"44","0.99","low"
"44","2.99","low"
"44","3.99","low"
"44","2.99","low"
"44","3.99","low"
"44","4.99","low"
"44","0.99","low"
"44","9.99","high"
"44","3.99","low"
"44","8.99","high"
"44","6.99","low"
"44","4.99","low"
"44","0.99","low"
"44","6.99","low"
"44","4.99","low"
"44","4.99","low"
"44","2.99","low"
"44","3.99","low"
"44","4.99","low"
"44","6.99","low"
"44","4.99","low"
"44","2.99","low"
"44","4.99","low"
"45","2.99","low"
"45","4.99","low"
"45","2.99","low"
"45","4.99","low"
"45","3.99","low"
"45","0.99","low"
"45","0.99","low"
"45","6.99","low"
"45","7.99","low"
"45","0.99","low"
"45","0.99","low"
"45","2.99","low"
"45","9.99","high"
"45","2.99","low"
"45","3.99","low"
"45","2.99","low"
"45","6.99","low"
"45","8.99","high"
"45","4.99","low"
"45","2.99","low"
"45","3.99","low"
"45","2.99","low"
"45","3.99","low"
"45","4.99","low"
"45","6.99","low"
"45","10.99","high"
"45","7.99","low"
"47","3.99","low"
"47","4.99","low"
"47","6.99","low"
"47","4.99","low"
"47","6.99","low"
"47","5.99","low"
"47","4.99","low"
"47","5.99","low"
"47","0.99","low"
"47","9.99","high"
"47","0.99","low"
"47","3.99","low"
"47","4.99","low"
"47","6.99","low"
"47","3.99","low"
"47","4.99","low"
"47","0.99","low"
"47","5.99","low"
"47","7.99","low"
"47","7.99","low"
"47","0.99","low"
"47","2.99","low"
"48","0.99","low"
"48","2.99","low"
"48","4.99","low"
"48","9.99","high"
"48","0.99","low"
"48","4.99","low"
"48","2.99","low"
"48","6.99","low"
"48","3.99","low"
"48","2.99","low"
"48","6.99","low"
"48","7.99","low"
"48","7.99","low"
"48","2.99","low"
"48","1.99","low"
"48","2.99","low"
"48","3.99","low"
"50","4.99","low"
"50","4.99","low"
"50","4.99","low"
"50","4.99","low"
"50","4.99","low"
"50","2.99","low"
"50","4.99","low"
"50","0.99","low"
"50","2.99","low"
"50","2.99","low"
"50","4.99","low"
"50","4.99","low"
"50","9.99","high"
"50","6.99","low"
"50","0.99","low"
"50","8.99","high"
"50","4.99","low"
"50","0.99","low"
"50","0.99","low"
"50","5.99","low"
"50","0.99","low"
"50","4.99","low"
"50","10.99","high"
"50","2.99","low"
"50","0.99","low"
"50","6.99","low"
"50","4.99","low"
"50","7.99","low"
"50","3.99","low"
"50","6.99","low"
"50","7.99","low"
"50","4.99","low"
"50","2.99","low"
"50","6.99","low"
"50","4.99","low"
"51","4.99","low"
"51","4.99","low"
"51","4.99","low"
"51","1.99","low"
"51","0.99","low"
"51","9.99","high"
"51","2.99","low"
"51","5.99","low"
"51","7.99","low"
"51","4.99","low"
"51","5.99","low"
"51","6.99","low"
"51","5.99","low"
"51","4.99","low"
"51","0.99","low"
"51","0.99","low"
"51","0.99","low"
"51","4.99","low"
"51","2.99","low"
"51","0.99","low"
"51","2.99","low"
"51","4.99","low"
"51","6.99","low"
"51","0.99","low"
"51","4.99","low"
"51","2.99","low"
"51","2.99","low"
"51","0.99","low"
"51","2.99","low"
"51","6.99","low"
"51","4.99","low"
"51","4.99","low"
"51","4.99","low"
"52","0.99","low"
"52","4.99","low"
"52","0.99","low"
"52","2.99","low"
"52","4.99","low"
"52","1.99","low"
"52","0.99","low"
"52","3.99","low"
"52","2.99","low"
"52","7.99","low"
"52","0.99","low"
"52","5.99","low"
"52","4.99","low"
"52","4.99","low"
"52","4.99","low"
"52","3.99","low"
"52","4.99","low"
"52","0.99","low"
"52","0.99","low"
"52","0.99","low"
"52","3.99","low"
"52","2.99","low"
"52","0.99","low"
"52","5.99","low"
"52","2.99","low"
"52","5.99","low"
"52","6.99","low"
"52","5.99","low"
"52","4.99","low"
"53","3.99","low"
"53","2.99","low"
"53","0.99","low"
"53","5.99","low"
"53","9.99","high"
"53","2.99","low"
"53","0.99","low"
"53","2.99","low"
"53","2.99","low"
"53","2.99","low"
"53","0.99","low"
"53","2.99","low"
"53","4.99","low"
"53","2.99","low"
"53","2.99","low"
"53","4.99","low"
"53","4.99","low"
"53","7.99","low"
"53","3.99","low"
"53","5.99","low"
"53","2.99","low"
"53","5.99","low"
"53","2.99","low"
"53","2.99","low"
"53","0.99","low"
"53","5.99","low"
"53","4.99","low"
"53","0.99","low"
"53","7.98","low"
"53","0.00","low"
"54","4.99","low"
"54","4.99","low"
"54","3.99","low"
"54","4.99","low"
"54","2.99","low"
"54","6.99","low"
"54","4.99","low"
"54","4.99","low"
"54","1.99","low"
"54","2.99","low"
"54","2.99","low"
"54","7.99","low"
"54","2.99","low"
"54","0.99","low"
"54","4.99","low"
"54","5.99","low"
"54","5.99","low"
"54","4.99","low"
"54","4.99","low"
"54","2.99","low"
"54","2.99","low"
"54","5.99","low"
"54","4.99","low"
"54","0.99","low"
"54","2.99","low"
"54","0.99","low"
"54","4.99","low"
"54","10.99","high"
"54","4.99","low"
"56","3.99","low"
"56","5.99","low"
"56","2.99","low"
"56","6.99","low"
"56","6.99","low"
"56","0.99","low"
"56","4.99","low"
"56","0.99","low"
"56","7.99","low"
"56","2.99","low"
"56","3.99","low"
"56","4.99","low"
"56","4.99","low"
"56","2.99","low"
"56","7.99","low"
"56","0.99","low"
"56","0.99","low"
"56","6.99","low"
"56","0.99","low"
"56","4.99","low"
"56","5.99","low"
"56","4.99","low"
"56","1.99","low"
"56","4.99","low"
"56","8.99","high"
"56","5.99","low"
"56","3.99","low"
"56","0.99","low"
"56","7.99","low"
"56","4.99","low"
"58","0.99","low"
"58","7.99","low"
"58","0.99","low"
"58","4.99","low"
"58","0.99","low"
"58","0.99","low"
"58","4.99","low"
"58","4.99","low"
"58","1.99","low"
"58","9.99","high"
"58","4.99","low"
"58","0.99","low"
"58","2.99","low"
"58","2.99","low"
"58","4.99","low"
"58","4.99","low"
"58","0.99","low"
"58","6.99","low"
"58","8.99","high"
"58","6.99","low"
"58","3.99","low"
"58","2.99","low"
"58","4.99","low"
"58","5.99","low"
"58","6.99","low"
"58","4.99","low"
"58","0.99","low"
"59","4.99","low"
"59","2.99","low"
"59","5.99","low"
"59","2.99","low"
"59","3.99","low"
"59","3.99","low"
"59","2.99","low"
"59","4.99","low"
"59","4.99","low"
"59","3.99","low"
"59","8.99","high"
"59","3.99","low"
"59","4.99","low"
"59","4.99","low"
"59","4.99","low"
"59","8.99","high"
"59","6.99","low"
"59","4.99","low"
"59","5.99","low"
"59","2.99","low"
"59","2.99","low"
"59","4.99","low"
"59","5.99","low"
"59","5.99","low"
"59","5.99","low"
"59","4.99","low"
"59","2.99","low"
"60","4.99","low"
"60","1.99","low"
"60","2.99","low"
"60","4.99","low"
"60","4.99","low"
"60","2.99","low"
"60","2.99","low"
"60","5.99","low"
"60","0.99","low"
"60","3.99","low"
"60","0.99","low"
"60","4.99","low"
"60","4.99","low"
"60","0.99","low"
"60","4.99","low"
"60","8.99","high"
"60","1.99","low"
"60","7.99","low"
"60","2.99","low"
"60","2.99","low"
"60","5.99","low"
"60","0.99","low"
"60","2.99","low"
"60","9.98","high"
"60","0.00","low"
"62","0.99","low"
"62","4.99","low"
"62","6.99","low"
"62","0.99","low"
"62","0.99","low"
"62","4.99","low"
"62","5.99","low"
"62","0.99","low"
"62","3.99","low"
"62","2.99","low"
"62","4.99","low"
"62","2.99","low"
"62","4.99","low"
"62","0.99","low"
"62","2.99","low"
"62","5.99","low"
"62","0.99","low"
"62","8.99","high"
"62","1.99","low"
"62","2.99","low"
"62","4.99","low"
"62","6.99","low"
"62","0.99","low"
"63","0.99","low"
"63","8.99","high"
"63","4.99","low"
"63","6.99","low"
"63","4.99","low"
"63","4.99","low"
"63","3.99","low"
"63","8.99","high"
"63","5.99","low"
"63","0.99","low"
"63","4.99","low"
"63","3.99","low"
"63","0.99","low"
"63","2.99","low"
"63","0.99","low"
"63","6.99","low"
"63","4.99","low"
"63","2.99","low"
"63","0.99","low"
"63","7.99","low"
"63","0.99","low"
"63","8.99","high"
"63","3.99","low"
"63","5.99","low"
"63","2.99","low"
"67","9.99","high"
"67","2.99","low"
"67","3.99","low"
"67","3.99","low"
"67","0.99","low"
"67","4.99","low"
"67","4.99","low"
"67","2.99","low"
"67","2.99","low"
"67","2.99","low"
"67","5.99","low"
"67","0.99","low"
"67","1.99","low"
"67","7.99","low"
"67","8.99","high"
"67","8.99","high"
"67","4.99","low"
"67","2.99","low"
"67","4.99","low"
"67","2.99","low"
"67","4.99","low"
"67","2.99","low"
"68","5.99","low"
"68","8.99","high"
"68","2.99","low"
"68","4.99","low"
"68","2.99","low"
"68","0.99","low"
"68","4.99","low"
"68","0.99","low"
"68","6.99","low"
"68","3.99","low"
"68","4.99","low"
"68","3.99","low"
"68","3.99","low"
"68","4.99","low"
"68","7.99","low"
"68","2.99","low"
"68","2.99","low"
"68","4.99","low"
"68","0.99","low"
"68","5.99","low"
"68","1.99","low"
"68","4.99","low"
"71","2.99","low"
"71","9.99","high"
"71","2.99","low"
"71","4.99","low"
"71","5.99","low"
"71","4.99","low"
"71","1.99","low"
"71","3.99","low"
"71","8.99","high"
"71","4.99","low"
"71","4.99","low"
"71","0.99","low"
"71","5.99","low"
"71","0.99","low"
"71","4.99","low"
"71","4.99","low"
"71","2.99","low"
"71","2.99","low"
"71","1.99","low"
"71","4.99","low"
"71","3.99","low"
"71","4.99","low"
"71","0.99","low"
"71","4.99","low"
"71","7.99","low"
"71","3.99","low"
"71","4.99","low"
"71","3.99","low"
"71","4.99","low"
"71","0.99","low"
"74","6.99","low"
"74","1.99","low"
"74","0.99","low"
"74","1.99","low"
"74","7.99","low"
"74","3.99","low"
"74","2.99","low"
"74","2.99","low"
"74","4.99","low"
"74","7.99","low"
"74","2.99","low"
"74","6.99","low"
"74","5.99","low"
"74","4.99","low"
"74","3.99","low"
"74","0.99","low"
"74","3.99","low"
"74","3.99","low"
"74","0.99","low"
"74","0.99","low"
"74","1.99","low"
"74","5.99","low"
"74","4.99","low"
"74","4.99","low"
"74","0.99","low"
"74","4.99","low"
"74","0.99","low"
"78","2.99","low"
"78","6.99","low"
"78","7.99","low"
"78","4.99","low"
"78","5.99","low"
"78","2.99","low"
"78","0.99","low"
"78","1.99","low"
"78","0.99","low"
"78","0.99","low"
"78","4.99","low"
"78","1.99","low"
"78","4.99","low"
"78","3.99","low"
"78","6.99","low"
"78","4.99","low"
"78","5.99","low"
"78","3.99","low"
"78","2.99","low"
"78","7.99","low"
"78","10.99","high"
"78","8.99","high"
"78","4.99","low"
"78","5.99","low"
"78","0.99","low"
"78","5.99","low"
"78","2.99","low"
"78","0.99","low"
"78","2.99","low"
"78","7.99","low"
"78","2.99","low"
"79","4.99","low"
"79","2.99","low"
"79","2.99","low"
"79","4.99","low"
"79","2.99","low"
"79","0.99","low"
"79","2.99","low"
"79","4.99","low"
"79","4.99","low"
"79","4.99","low"
"79","2.99","low"
"79","2.99","low"
"79","5.99","low"
"79","9.99","high"
"79","2.99","low"
"79","1.99","low"
"79","6.99","low"
"79","0.99","low"
"79","2.99","low"
"79","4.99","low"
"79","2.99","low"
"79","0.99","low"
"80","2.99","low"
"80","8.99","high"
"80","3.99","low"
"80","4.99","low"
"80","8.99","high"
"80","3.99","low"
"80","5.99","low"
"80","3.99","low"
"80","4.99","low"
"80","5.99","low"
"80","6.99","low"
"80","1.99","low"
"80","0.99","low"
"80","5.99","low"
"80","6.99","low"
"80","0.99","low"
"80","6.99","low"
"80","8.99","high"
"80","5.99","low"
"80","0.99","low"
"80","1.99","low"
"80","2.99","low"
"80","4.99","low"
"80","0.99","low"
"80","4.99","low"
"80","0.99","low"
"80","0.99","low"
"80","8.99","high"
"80","5.99","low"
"80","2.99","low"
"81","0.99","low"
"81","1.99","low"
"81","5.99","low"
"81","4.99","low"
"81","2.99","low"
"81","9.99","high"
"81","0.99","low"
"81","4.99","low"
"81","0.99","low"
"81","3.99","low"
"81","0.99","low"
"81","5.99","low"
"81","4.99","low"
"81","5.99","low"
"81","4.99","low"
"81","3.99","low"
"81","7.99","low"
"81","5.99","low"
"81","4.99","low"
"81","4.99","low"
"81","2.99","low"
"81","1.99","low"
"82","2.99","low"
"82","8.99","high"
"82","0.99","low"
"82","0.99","low"
"82","8.99","high"
"82","8.99","high"
"82","0.99","low"
"82","2.99","low"
"82","6.99","low"
"82","4.99","low"
"82","6.99","low"
"82","6.99","low"
"82","9.99","high"
"82","0.99","low"
"82","4.99","low"
"82","3.99","low"
"82","8.99","high"
"82","6.99","low"
"82","4.99","low"
"82","5.99","low"
"82","3.99","low"
"82","0.99","low"
"82","6.99","low"
"82","0.99","low"
"82","4.99","low"
"82","3.99","low"
"83","0.99","low"
"83","0.99","low"
"83","2.99","low"
"83","5.99","low"
"83","5.99","low"
"83","3.99","low"
"83","4.99","low"
"83","6.99","low"
"83","2.99","low"
"83","0.99","low"
"83","6.99","low"
"83","2.99","low"
"83","2.99","low"
"83","0.99","low"
"83","4.99","low"
"83","1.99","low"
"83","0.99","low"
"83","5.99","low"
"83","4.99","low"
"83","4.99","low"
"83","5.99","low"
"83","4.99","low"
"83","4.99","low"
"83","5.99","low"
"83","4.99","low"
"87","4.99","low"
"87","2.99","low"
"87","4.99","low"
"87","2.99","low"
"87","2.99","low"
"87","4.99","low"
"87","9.99","high"
"87","7.99","low"
"87","3.99","low"
"87","4.99","low"
"87","4.99","low"
"87","2.99","low"
"87","7.99","low"
"87","5.99","low"
"87","4.99","low"
"87","0.99","low"
"87","2.99","low"
"87","8.99","high"
"87","4.99","low"
"87","4.99","low"
"87","0.99","low"
"87","8.99","high"
"87","5.99","low"
"87","0.99","low"
"87","0.99","low"
"87","10.99","high"
"87","2.99","low"
"87","2.99","low"
"87","4.99","low"
"87","4.99","low"
"89","2.99","low"
"89","0.99","low"
"89","5.99","low"
"89","8.99","high"
"89","7.99","low"
"89","4.99","low"
"89","0.99","low"
"89","7.99","low"
"89","4.99","low"
"89","0.99","low"
"89","8.99","high"
"89","7.99","low"
"89","2.99","low"
"89","2.99","low"
"89","2.99","low"
"89","7.99","low"
"89","4.99","low"
"89","4.99","low"
"89","2.99","low"
"89","2.99","low"
"89","0.99","low"
"89","2.99","low"
"89","2.99","low"
"89","0.99","low"
"89","4.99","low"
"89","4.99","low"
"89","3.99","low"
"89","3.99","low"
"89","2.99","low"
"89","2.99","low"
"89","2.99","low"
"89","2.99","low"
"93","2.99","low"
"93","6.99","low"
"93","4.99","low"
"93","4.99","low"
"93","0.99","low"
"93","2.99","low"
"93","4.99","low"
"93","4.99","low"
"93","4.99","low"
"93","2.99","low"
"93","0.99","low"
"93","5.99","low"
"93","4.99","low"
"93","2.99","low"
"93","2.99","low"
"93","8.99","high"
"93","4.99","low"
"93","0.99","low"
"93","4.99","low"
"93","5.99","low"
"93","2.99","low"
"93","0.99","low"
"93","1.99","low"
"94","2.99","low"
"94","4.99","low"
"94","2.99","low"
"94","4.99","low"
"94","3.99","low"
"94","4.99","low"
"94","2.99","low"
"94","0.99","low"
"94","8.99","high"
"94","4.99","low"
"94","4.99","low"
"94","2.99","low"
"94","0.99","low"
"94","4.99","low"
"94","2.99","low"
"94","5.99","low"
"94","1.99","low"
"94","4.99","low"
"94","0.99","low"
"94","0.99","low"
"94","4.99","low"
"96","3.99","low"
"96","7.99","low"
"96","0.99","low"
"96","0.99","low"
"96","5.99","low"
"96","0.99","low"
"96","0.99","low"
"96","2.99","low"
"96","2.99","low"
"96","4.99","low"
"96","0.99","low"
"96","4.99","low"
"96","2.99","low"
"96","4.99","low"
"96","6.99","low"
"96","3.99","low"
"96","4.99","low"
"96","3.99","low"
"96","4.99","low"
"96","4.99","low"
"96","3.99","low"
"96","4.99","low"
"96","4.99","low"
"96","0.99","low"
"96","4.99","low"
"96","3.99","low"
"96","4.99","low"
"98","3.99","low"
"98","3.99","low"
"98","5.99","low"
"98","4.99","low"
"98","0.99","low"
"98","4.99","low"
"98","4.99","low"
"98","7.99","low"
"98","4.99","low"
"98","2.99","low"
"98","3.99","low"
"98","0.99","low"
"98","5.99","low"
"98","4.99","low"
"98","5.99","low"
"98","2.99","low"
"98","3.99","low"
"98","2.99","low"
"98","0.99","low"
"98","2.99","low"
"98","5.99","low"
"98","2.99","low"
"98","5.99","low"
